#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403715517869743616,0.44325826928742895,2.0620414518252215,1.0765942725086894,0.966039123278713,-0.017665659592484624,0.0035289655297940092,-0.25776711033090988
1403715517879920128,0.44319846998074786,2.0620325046331804,1.0765919919203459,0.96606589431649359,-0.017580617505931376,0.0033801663707638827,-0.2576745703438536
1403715517889768448,0.44319923636410452,2.0620099071676465,1.0766086892878193,0.96607356853302095,-0.017475358736764882,0.0033302956658792637,-0.25765360690212291
1403715517899768832,0.4432120518881808,2.0620149039953288,1.0765987036271345,0.96605003240405862,-0.017590371705808031,0.0034150130071289508,-0.25773290709866659
1403715517909828352,0.44306716617925718,2.0617123451417969,1.0763795380457197,0.9662681838183621,-0.017156126652945542,0.002645684456566899,-0.25695226134904586
1403715517919830784,0.44324947156415262,2.0620436348626932,1.0766186569009337,0.96606347369538303,-0.017812279608874045,0.003534543085419966,-0.2576656641695253
1403715517929818368,0.44325089030820908,2.0620477571639642,1.0766191317788452,0.96605904926255548,-0.017682814964284397,0.0033689834954457399,-0.25769338630060679
1403715517939781632,0.44321344468450535,2.0614453757712035,1.0759059038932426,0.96615483802124424,-0.014983998225669433,0.00072213815288102738,-0.25752628464256722
1403715517949760768,0.44341009818966898,2.0624952755310151,1.0764234953388694,0.966195680228778,-0.02052310434201772,0.0037587591771016701,-0.25696416369771119
1403715517959734272,0.44318531931231936,2.0620315102127567,1.0765676379051403,0.96605831735299397,-0.017449110859139409,0.0032678070202725503,-0.25771336294535785
1403715517969775616,0.44302555859404458,2.0616542076636888,1.0763650762532468,0.96628522398448535,-0.016778395052700779,0.0025692658969913699,-0.25691389655185864
1403715517979818240,0.44323306951562685,2.0620303657262449,1.0765776531395721,0.96605262572559825,-0.017770790282341468,0.0034806657154692515,-0.25770993055680907
1403715517989751296,0.44322571973476216,2.062020601387625,1.0765925715429514,0.96603695682130075,-0.017646800078282468,0.0034600836133697869,-0.2577774550340387
1403715517999730688,0.4430663511003709,2.0617208874080131,1.0763775523447618,0.96629625337491876,-0.016967378647153013,0.0026019806560964196,-0.25685966688467143
1403715518009742336,0.44308137119439239,2.0617598675646631,1.0763767988498381,0.96628860353932022,-0.017332350461985103,0.0027192569346281823,-0.25686286212533105
1403715518019774720,0.44324142216041146,2.0620145780455239,1.0766058537528467,0.96606749972132333,-0.017724960641106419,0.0034673996983109459,-0.2576575030768451
1403715518029740800,0.44318886458743767,2.0619887928457432,1.0765505154371375,0.96606254539965575,-0.017402175888331116,0.0033848076968762205,-0.25769917680727028
1403715518039793152,0.44316864983419008,2.0620728769546406,1.07658670593341,0.96607431266911192,-0.017707302536595769,0.0032899130756735137,-0.25763549893160093
1403715518049806336,0.44321327198638322,2.0619746355571054,1.0765751623193458,0.96605354166264323,-0.017488330962388738,0.0033900868763858893,-0.25772702658468732
1403715518059701504,0.44336047605905793,2.0624929594865522,1.0763835822733732,0.96620045232283824,-0.020759388346098917,0.0037753840884538073,-0.25692699391388052
